numQubits,circDepth,numReps,avgDur(s),varDur(s^2)
1,1000,50,0.000034,0.000000
2,1000,50,0.005762,0.000001
3,1000,50,0.008359,0.000000
4,1000,50,0.012534,0.000000
5,1000,50,0.017868,0.000000
6,1000,50,0.021586,0.000000
7,1000,50,0.024625,0.000000
8,1000,50,0.029069,0.000000
9,1000,50,0.034757,0.000000
10,1000,50,0.039504,0.000000
11,1000,50,0.050188,0.000000
12,1000,50,0.057936,0.000000
13,1000,50,0.074158,0.000000
14,1000,50,0.105150,0.000000
15,1000,50,0.171521,0.000000
16,1000,50,0.309450,0.000000
17,1000,50,0.595754,0.000024
18,1000,50,1.192941,0.000003
19,1000,50,2.492650,0.000015
20,1000,50,5.194073,0.000117
21,1000,50,10.618101,0.000380
22,1000,50,31.176906,0.084968
23,1000,50,59.372366,0.006507
24,1000,50,116.695299,0.025541
25,1000,50,232.469903,0.075831
26,1000,50,471.177574,0.289988
27,1000,50,963.936253,1.063953
28,1000,50,2020.314540,2272.530293
